id,center_name,address,area,area_id,crm_center_id,crm_area_id,city_id,state_id,country_id,pincode,latitude,longitude,phone_number,status,created_by,updated_by,created_at,updated_at
98,Koregaon Park,"Shop No. 479-480,Jewel Square ,Cts No. 15/A/7/158/15 & 9/15,Koregaon Park Roadpune, Maharashtra",Koregaon Park,NULL,INMHPUN07,NULL,2763,22,82,411001,18.538449,73.8837293,2041059595,1,1,0,7/26/2017 10:19,NULL
99,Aundh,"Sanghvi Arcade, 1St Floor, Parihar Chowk, Aundhpune, Maharashtra",Aundh,NULL,INMHPUN04,NULL,2763,22,82,411007,18.561086,73.8080673,020-40195959,1,1,0,7/26/2017 10:19,NULL
100,Magarpatta,"T20-T24, 3Rd Floor,Destination Center Magarpatta City,Hadapsarpune, Maharashtra",Magarpatta,NULL,INMHPUN06,NULL,2763,22,82,411028,18.5095902,73.9259921,020-67243434/5/6,1,1,0,7/26/2017 10:19,NULL
101,Mukund Nagar,"Shop No. 11, Parshwa Bldg, Sujay Garden Mukund Nagarpune, Maharashtra",Mukund Nagar,NULL,INMHPUN05,NULL,2763,22,82,411037,18.4968266,73.8555468,020-40195444/5/6,1,1,0,7/26/2017 10:19,NULL
102,Raipur,"Hig-27,Main Road,Sector 1,Housing Board Colonyshankar Nagarraipur, Chhattisgarh",Raipur,NULL,INCGRPR01,NULL,684,7,82,492001,21.254287,81.6603033,"0771 - 4055005, 4077004/5",1,1,0,7/26/2017 10:19,NULL
103,Rajkot,"218, Sigma Complex Vidhya Nagar Station Road, Opposite Pragati Maidan, Vidhya Nagarrajkot, Gujarat",Rajkot,NULL,INGJRKT01,NULL,1011,12,82,360001,22.5492255,72.9338304,"0269-2234062, 9898579134, 9408152443",1,1,0,7/26/2017 10:19,NULL
104,Rajahmundry,"No. 79-2-9/3, Plot No. 54, Jetty Enclave, Near Saibaba Temple, Tilak Road rajahmundry, Andhra Pradesh",Rajahmundry,NULL,INAPRJM01,NULL,4496,2,82,533103,17.003517,81.7946553,"0883-2464926,0883-2464927",1,1,0,7/26/2017 10:19,NULL
105,Adajan,"1St Floor, 105-Millionaire Business Park, L P Savani Road, Opp. Tgb Restaurant,Above Mcdonald, Adajansurat, Gujarat",Adajan,NULL,INGJSUR02,NULL,1041,12,82,395009,21.1939392,72.7849359,"0261 - 6511333 / 444, 9825653917",1,1,0,7/26/2017 10:19,NULL
106,Vazhuthacaud,"Sree Gangadharam, Tc - 14/1026, Opp. Trivandrum Club, Vazhuthacaudtrivandrum, Kerala",Vazhuthacaud,NULL,INKRTRV01,NULL,2045,19,82,695010,8.5055,76.9587543,"0471 - 2333364, 2336269",1,1,0,7/26/2017 10:19,NULL
107,Varanasi,"57 Gandhinagar, Sigravaranasi, Uttar Pradesh",Varanasi,NULL,INUPVRN01,NULL,5211,38,82,221010,25.313531,82.9837133,0542 - 2227274 / 75,1,1,0,7/26/2017 10:19,NULL
108,Vijayawada,"1St Floor, K. P. Towers, Above Kahjana Jewellers, Near Benz Circle, M. G. Roadvijayawada, Andhra Pradesh",Vijayawada,NULL,INAPVWD01,NULL,285,2,82,520010,16.4986673,80.6500912,0866 - 2493615 / 16,1,1,0,7/26/2017 10:19,NULL
109,Vizag Gajuwaka,"D.No: 25-1-2/5, 1St Floor,Padmasree Arcade Nh 5,Chinagantyada,Old Gajuwakavisakhapatnam, Andhra Pradesh",Vizag Gajuwaka,NULL,INAPVSK02,NULL,287,2,82,530026,17.683256,83.1942557,"0891-2588167, 0891-2588168, 0891-2588169",1,1,0,7/26/2017 10:19,NULL
110,Siripuram Road,"1St Floor,Vianyagar Heights,Cbm Compoundsiripuram Road,Visakhapatnam, Andhra Pradesh",Siripuram Road,NULL,INAPVSK01,NULL,287,2,82,530001,17.683256,83.1942557,"0891 - 2588178 / 179, 2753388",1,1,0,7/26/2017 10:19,NULL
111,Warrangal,"H No.1-8-592, Nitya Plaza, Nakkalagutta, Hanmakinda, Warangalwarrangal , Telangana",Warrangal,NULL,INTLWNG01,NULL,4505,36,82,506001,18.0031914,79.5549433,0870-6566661/2/3,1,1,0,7/26/2017 10:19,NULL
